"Timestamp","How was your overall experience during the event?","Did you feel that the teams were fair and balanced?","How do you feel about the current event format using the Discord bot? What did you like, what felt confusing or clunky, and what would you improve for future events?","Was there anything, positive or negative about the event in general, that you'd like to share with us?","Was there a specific moment during the event that stood out as particularly fun or memorable?","Did you feel welcomed and included throughout the event?","Any additional comments or feedback?","How likely are you to participate in another clan event in the future?","Would you like a staff member to reach out to you about your concerns?","Optional:  If you answered yes to the previous question, please share your RSN here or DM a Leader on Discord."
"2025/05/18 12:19:32 PM MDT","4","4","Bot was great. Well coded, instructions were clear, made the whole event smooth because we weren't having to wait for the next tile to be given to us, we could just get straight on with tasks. ","Ref's were really quick and helpful when issues did arise. Thank you to all of them who helped with this event.
I liked that the DT2 and Wildy bosses were grouped, rather than having to just do one specific, being able to pick the one you felt you had the best chance at/were strongest at killing was a nice touch. 
Also like the variety of tiles. Not all high end bossing content. It was a nice surprise rolling the hunter tile after having nothing but bossing for a few days. Same for agility, etc. ","","5","","5","No",""
"2025/05/18 12:43:18 PM MDT","5","4","I thought the bot was lovely, kept everything nice and neat. In addition to the clear and concise rules helped the rulings flow extremely easily, and people can move on without every single thing needing to be double checked.  ","I thought the event was absolutely amazing, truly. I had a blast, and that really is putting it lightly. It was so fun figuring out the board, working on various content I never would have, and also actively getting to know my teammates. All my friends play other games, so I have no online friends that play osrs, and now I can actually say I do! 

The only real negative I have is regards to just feeling ""stuck"" sometimes on tiles vs others. I think this feeling can also be amplified in regards to having small teams, and in that everyone has extremely different lives and responsibilities, so it can feel at times others aren't playing near as much or as dedicated. I know not all events are sweaty, but I come from a competitive background so sometimes those negative feelings can come forward! 

Potentially could be made better with even 1 or 2 more players per team? A survey beforehand to see how much each player plans to play for the event for easier balancing? Even with some tiles having an ""out"" that is extremely awful to grind, but another way to be working towards something if someone couldn't do, didn't want to, or had the teammates available to work on a specific piece of content. ex. ToB unique, pity out: golden tench","PENGUIN AGILITY COURSE BEST CONTENT IN OSRS","5","Lemon and Healsha you are both amazing <3 PLEASE HOST MORE SERIOUSLY

Also would love to see a future event where there is a system for picking teams or something of the sort! :^)","5","No",""
"2025/05/18 1:53:18 PM MDT","4","5",".",".","","2","","1","No",""
"2025/05/18 3:57:12 PM MDT","5","5","actually thought it was very simple to use very easy to keep track of things. i just need to learn how to open a thread for the next ""keep track of x kills or drops etc"" -  but thats a skill issue for me haha","had a blast i was on team 3 and everyone participated best they could and all helped out where they can. I didnt notice any toxicity within my team and not alot overall from any team which is awesome.. some internal frustration at KQ mechanics but thats jagex! haha ","personally getting my Vet'ion pet so early was so unexpected i've done my first gamer yell in ages! lol.. you know the whole.. ""OH MY GOD, OH MY GOD OH MY GOD HOLYYYY"" anyways. Otherwise witnessing the spoon in person was incredible, i've heard much about the spoon of Aggressive but to be on the same team as it, was a pleasure. Everyone on team 3 were amazing and great team mates","5","thank you for all your amazing combined work on pulling off another incredible event. Genuinely the events are so much fun <3 ","5","No",""
"2025/05/18 6:41:33 PM MDT","5","5","Maybe reveal the board state after selection? I dunno. Was pretty foolproof.","Genuinely the most fun I've had with a team event in a while. Good work!!!","The bomb challenges were especially fun","5","Treat yourselves to some hole","5","No",""
"2025/05/18 7:34:35 PM MDT","5","5","Very clear, concise and easy to use, made everything very smooth to help our progression and choices. instant updates etc","I really loved the strategy/decision making of this event, it reminded me a lot of the Hexes tiles/bingo event which allows us to forge our own path. I also really appreciated not being impacted by some sort of attacks by other teams hindering our progress and I REALLY loved not seeing other teams' progress, there was some days which was slower/harder and some days we just ran through a few tiles and I think a lot comes from playing our own game and our own board without getting demotivated/demoralized by seeing other teams' progresses. ","Aggressive spoon 2 KQ heads in 33 kc (one on 3kc) and saving us from this hell hole. 

Our only team tile was the Wilderness multi boss and this was truly memorable (define fun) as we had a good laugh at Aussie pkers, spooned a pet on a member and overall was a great experience I don't usually get to do within EG as not a lot of people do these bosses in multi","5","I feel like some tiles were a bit rough, especially considering that we all were small teams. Kree'Arra as an example, rough KPH and really hard to chain trips without keys so I was glad we could instantly skip this tile, especially since a lot of us couldn't do it (no shadows, chins and 2 uniques on 1/127 was a big blow to the morale until we skipped). 

2 KQ head was also a bit rough since most didn't have the diary done, I think one would be nicer or 2 uniques in general. I felt this tile was too restrictive for the team sizes. 

Other than that it was truly a fun way to play reverse-minesweeper, I'm really curious to see which tiles I missed and I think the bombs being the clear objectives with harder/a more unique requirement to clear was a good way to balance the event and change the pace of our gameplay. I think part of me would have liked to see faster tiles being cleared with a little bit bigger board so we can have way more options and up the minesweeper difficulty level, I think the first day or two were the most fun with the strategical scrambles and then the board was small enough that we only needed to look into clearing 1 or 2 tiles to have enough intel to figure out where the bombs are. Not necessarily a good or bad thing depending on how you see things, team size and how the general luck goes through the event, just an observation from my perspective! ","5","Yes","Oshdale"
"2025/05/19 2:37:23 PM MDT","5","5","Found it fun and easy to work with","It was very fun. Thank you guys sooo much for organizing this event!","The kalphite queen grind. We were in a low point and we even got the special rule to ship it. And we just said f it we will just carry on. Was fing hilarious when we heard all other teams used it except us. ","5","","5","No",""
"2025/05/21 1:27:00 AM MDT","5","4","The discord bot allows the game to be played even while admins are away, and clearly allows for some creative design as well. 10/10","I really liked the addition of non-bossing and skilling segments, it made the event more interesting and allowed all team members to participate a bit more than usual.","Huey pet + 6 gnome scarves. I have been thoroughly Gnomed.","5","Great vibes on this one","5","No",""
